yyyy mm dd hh mi |  m s{-1}   |     C       |    %     |    mb    |  W m{-2}  |  W m{-2} | Inches/timestep
----------------------------------------------------------------------------------------------------------------------
1998 01 03 06 30     9.210     9.900    85.900   991.000     0.000   360.000     0.000
1998 01 03 07 00     9.230    10.000    85.800   991.000     0.000   359.000     0.000
1998 01 03 07 30     9.230    10.000    86.000   991.000     0.000   347.000     0.000
1998 01 03 08 00     8.570    10.100    86.400   991.000     0.000   337.000     0.000
1998 01 03 08 30     9.170    10.400    85.800   991.000     0.000   344.000     0.000
1998 01 03 09 00     9.600    10.700    84.900   991.000     0.000   355.000     0.000
1998 01 03 09 30     9.560    10.800    84.600   991.000     0.000   355.000     0.000
1998 01 03 10 00     9.490    10.800    85.100   991.000     0.000   356.000     0.000
1998 01 03 10 30     9.820    11.000    85.400   991.000     0.000   355.000     0.000
1998 01 03 11 00    10.060    11.100    85.700   991.000     0.000   354.000     0.000
1998 01 03 11 30     9.910    11.300    86.100   991.000     0.000   350.000     0.000
1998 01 03 12 00     8.310    11.100    87.800   991.000     0.000   346.000     0.000
1998 01 03 12 30     7.620    10.500    90.400   991.000     0.000   341.000     0.000
1998 01 03 13 00     6.880    10.200    92.600   991.000     0.000   349.000     0.000
1998 01 03 13 30     6.380    10.000    94.100   991.000     2.000   349.000     0.000
1998 01 03 14 00     6.060    10.300    93.900   991.000    10.000   349.000     0.000
1998 01 03 14 30     7.310    11.100    92.000   992.000    31.000   351.000     0.000
1998 01 03 15 00     8.700    11.700    91.000   992.000    35.000   356.000     0.000
1998 01 03 15 30     9.030    11.700    91.700   992.000    39.000   359.000     0.000
1998 01 03 16 00     9.010    11.800    92.200   993.000    38.000   360.000     0.000
1998 01 03 16 30     8.860    11.900    92.800   993.000    61.000   360.000     0.000
1998 01 03 17 00     8.900    12.000    93.200   993.000    67.000   360.000     0.000
1998 01 03 17 30     9.330    12.100    94.000   992.000    48.000   363.000     0.000
1998 01 03 18 00     8.730    12.200    94.900   992.000    64.000   362.000     0.000
1998 01 03 18 30     8.060    12.400    95.000   992.000    92.000   363.000     0.000
